Dataset,Metric,Mean,Std Error
G1T,Accuracy,1.0,0.0
G1T,Precision (Micro),1.0,0.0
G1T,Recall (Micro),1.0,0.0
G1T,F1-score (Micro),1.0,0.0
G1D,Accuracy,0.9964285714285713,0.01071428571428571
G1D,Precision (Micro),0.9964285714285713,0.01071428571428571
G1D,Recall (Micro),0.9964285714285713,0.01071428571428571
G1D,F1-score (Micro),0.9964285714285713,0.01071428571428571
G2T,Accuracy,1.0,0.0
G2T,Precision (Micro),1.0,0.0
G2T,Recall (Micro),1.0,0.0
G2T,F1-score (Micro),1.0,0.0
G2D,Accuracy,1.0,0.0
G2D,Precision (Micro),1.0,0.0
G2D,Recall (Micro),1.0,0.0
G2D,F1-score (Micro),1.0,0.0
G3T,Accuracy,0.9824561403508772,0.04707511531578506
G3T,Precision (Micro),0.9824561403508772,0.04707511531578506
G3T,Recall (Micro),0.9982456140350877,0.0052631578947368585
G3T,F1-score (Micro),0.9807017543859649,0.04671412966910298
G3D,Accuracy,0.9614035087719298,0.0606723384764582
G3D,Precision (Micro),0.9614035087719298,0.0606723384764582
G3D,Recall (Micro),0.9578320802005011,0.05933160499692902
G3D,F1-score (Micro),0.9614035087719298,0.0606723384764582
